Ranking por autor by Ranking geral ,,Video Start,,Videos Completos,,Taxa de videos completos
1.,qcji1ffyt7fw band entretenimento,48987,,22323,,45.6%
,1.,15497563 ntegra capitulo 77  06/06/2015,6545,13.4%,3716,16.6%,56.8%
,2.,15495516 ntegra capitulo 76  05/06/2015,1836,3.7%,785,3.5%,42.8%
,3.,15494110 4  avaliacao da prova do frango depenado,1191,2.4%,418,1.9%,35.1%
,4.,15494103 1  caixa misteriosa eliminatoria,916,1.9%,462,2.1%,50.4%
,5.,15495514 ntegra capitulo 75  04/06/2015,858,1.8%,335,1.5%,39.0%
,6.,15494130 5  prova do ovo beneditino,755,1.5%,412,1.8%,54.6%
,7.,15494119 3  prova do frango depenado,677,1.4%,413,1.9%,61.0%
,8.,15494092 2  avaliacao da caixa misteriosa,677,1.4%,400,1.8%,59.1%
,9.,14622369 parte 6   mariana se assusta em gravacao de kid bengala,671,1.4%,75,0.3%,11.2%
,10.,15496512 sherazade e nadide comentam divorcio de fusun e ali kemal,570,1.2%,435,1.9%,76.3%
,11.,15491747 carol dias entra no velho oeste e arrasa no panicats show,546,1.1%,123,0.6%,22.5%
,12.,15494290 ntegra capitulo 74  03/06/2015,468,1.0%,219,1.0%,46.8%
,13.,15491697 bolinha forja propria morte ao lado de bola e trolla as panicats,467,1.0%,151,0.7%,32.3%
,14.,15403897 francine grava porno com kid bengala,461,0.9%,83,0.4%,18.0%
,15.,15491655 mendigo e mendigata analisam as gostosas no pego ou nao pego,433,0.9%,166,0.7%,38.3%
,16.,15494835 onur e sherazade fazem as pazes,423,0.9%,340,1.5%,80.4%
,17.,15496469 ali kemal conversa com a mae de yansel,419,0.9%,288,1.3%,68.7%
,18.,15491712 igreja preferida dos pecadores volta as telas com a banheira do poderoso,384,0.8%,118,0.5%,30.7%
,19.,15465392 video resume gestacao humana em quatro minutos,380,0.8%,94,0.4%,24.7%
,20.,15491748 aline mineiro vence o panicats show,376,0.8%,121,0.5%,32.2%
,21.,15496616 bolachinhas de nata,367,0.7%,124,0.6%,33.8%
,22.,15496475 ali kemal tenta pegar seu filho na casa do pai de yaman,336,0.7%,273,1.2%,81.3%
,23.,15491744 aline mineiro danca varios estilos e levanta plateia no panicats show,312,0.6%,127,0.6%,40.7%
,24.,15494282 ntegra capitulo 73  02/06/2015,312,0.6%,118,0.5%,37.8%
,25.,"15480588 confira, na integra, o show especial da cantora lais",307,0.6%,24,0.1%,7.8%
,26.,15493681 homem levitando intriga moradores e turistas na belgica,291,0.6%,243,1.1%,83.5%
,27.,15494833 onur fica com ciumes de sherazade,280,0.6%,203,0.9%,72.5%
,28.,15492991 ntegra capitulo 72  01/06/2015,271,0.6%,94,0.4%,34.7%
,29.,15492993 os simuladores mostra golpe em concessionaria,264,0.5%,116,0.5%,43.9%
,30.,15494853 sherazade recebe flores que yasemin mandou para onur,262,0.5%,204,0.9%,77.9%
,31.,15402717 ntegra capitulo 2   10/03/2015,243,0.5%,68,0.3%,28.0%
,32.,15045915 frota conta que pegou mae de santo e fez a mulher desmaiar na cama,239,0.5%,26,0.1%,10.9%
,33.,15496473 feride volta a casa de handan,218,0.4%,178,0.8%,81.7%
,34.,15401517 ntegra capitulo 1   09/03/2015,213,0.4%,62,0.3%,29.1%
,35.,15409464 ntegra capitulo 7   16/03/2015,197,0.4%,77,0.3%,39.1%
,36.,15406474 ntegra capitulo 5   13/03/2015,179,0.4%,62,0.3%,34.6%
,37.,15481233 ntegra capitulo 63   21/05/2015,178,0.4%,45,0.2%,25.3%
,38.,14830892 naruto shippuuden   episodio 345,178,0.4%,33,0.1%,18.5%
,39.,15405552 ntegra capitulo 4   12/03/2015,173,0.4%,52,0.2%,30.1%
,40.,15414785 ntegra capitulo 12   21/03/2015,173,0.4%,41,0.2%,23.7%
,41.,15490063 ntegra capitulo 71  30/05/2015,170,0.3%,58,0.3%,34.1%
,42.,15490088 1  audicoes,167,0.3%,72,0.3%,43.1%
,43.,15403457 ntegra capitulo 3   11/03/2015,166,0.3%,55,0.2%,33.1%
,44.,15490056 ntegra capitulo 70  29/05/2015,166,0.3%,52,0.2%,31.3%
,45.,15412776 ntegra capitulo 10   19/03/2015,165,0.3%,71,0.3%,43.0%
,46.,15496621 festival de pizzas,163,0.3%,40,0.2%,24.5%
,47.,15410758 ntegra capitulo 8   17/03/2015,160,0.3%,65,0.3%,40.6%
,48.,15499067 christian pior leva as panicats para a parada gay,157,0.3%,41,0.2%,26.1%
,49.,15488762 ntegra capitulo 69  28/05/2015,155,0.3%,46,0.2%,29.7%
,50.,15494846 fusun deixa a mansao de burhan,154,0.3%,111,0.5%,72.1%
,51.,15486209 3  prova,154,0.3%,99,0.4%,64.3%
,52.,15417273 ntegra capitulo 13   23/03/2015,148,0.3%,49,0.2%,33.1%
,53.,15486188 1  audicoes,143,0.3%,81,0.4%,56.6%
,54.,15406483 ntegra capitulo 6   14/03/2015,142,0.3%,53,0.2%,37.3%
,55.,15483879 aline beija fiel e brinca na banheira do poderoso,142,0.3%,47,0.2%,33.1%
,56.,15492951 top five caio fabio rebatiza cruzada de pernas de sharon stone,140,0.3%,48,0.2%,34.3%
,57.,15491739 daniel zukerman visita o hotel mais macabro do mundo,139,0.3%,70,0.3%,50.4%
,58.,15499043 mendigata e mendigo buscam novas beldades no pego ou nao pego,139,0.3%,45,0.2%,32.4%
,59.,15491671 eletrocutados humoristas improvisam no canto para nao tomarem choques,136,0.3%,80,0.4%,58.8%
,60.,15487504 ntegra capitulo 68  27/05/2015,131,0.3%,48,0.2%,36.6%
,61.,15486200 2  audicoes,126,0.3%,75,0.3%,59.5%
,62.,15422238 ntegra capitulo 17   27/03/2015,124,0.3%,31,0.1%,25.0%
,63.,15491669 apagao gui santana volta ao quadro para mostrar sua falta de coragem,123,0.3%,57,0.3%,46.3%
,64.,15418498 ntegra capitulo 14   24/03/2015,117,0.2%,47,0.2%,40.2%
,65.,15494258 visual do prato define terceira eliminada do dia,117,0.2%,38,0.2%,32.5%
,66.,15486222 4  avaliacoes,116,0.2%,71,0.3%,61.2%
,67.,15491714 walter negao lanca nova novela parodia no panico na band,116,0.2%,42,0.2%,36.2%
,68.,15491701 masterjegue tiririca prepara `furto do mar com caranguejos,114,0.2%,56,0.3%,49.1%
,69.,15485045 ntegra capitulo 66  25/05/2015,114,0.2%,46,0.2%,40.4%
,70.,"15277863 poderoso castiga leva babi, mendigata e pedrinho a praia de nudismo",114,0.2%,11,0.0%,9.6%
,71.,15477709 ntegra capitulo 61   19/05/2015,112,0.2%,34,0.2%,30.4%
,72.,15492954 internautas pedem filmes de frota em metro para desencorajar encoxadores,110,0.2%,86,0.4%,78.2%
,73.,15492918 olho por olho se vinga de encoxadores do metro,110,0.2%,60,0.3%,54.5%
,74.,15411578 ntegra capitulo 9   18/03/2015,108,0.2%,50,0.2%,46.3%
,75.,15491674 agnaldo te mostro show humoristas decidem se crianca e menino ou menina,106,0.2%,68,0.3%,64.2%
,76.,15482576 ntegra capitulo 64   22/05/2015,104,0.2%,35,0.2%,33.7%
,77.,14457090 passou na tv helen ganzarolli fica de calcinha no sbt,101,0.2%,7,0.0%,6.9%
,78.,15254442 assista ao ensaio da trip girl uyara torrente,100,0.2%,50,0.2%,50.0%
,79.,15414682 ntegra capitulo 11   20/03/2015,100,0.2%,30,0.1%,30.0%
,80.,15494642 nadide surpreende fusun na casa de selim,98,0.2%,75,0.3%,76.5%
,81.,15494872 nadide ameaca selim para que ele va embora,96,0.2%,80,0.4%,83.3%
,82.,15494644 yasemin tenta conquistar onur mais uma vez,96,0.2%,64,0.3%,66.7%
,83.,15482580 ntegra capitulo 65   23/05/2015,95,0.2%,41,0.2%,43.2%
,84.,15490080 3  audicoes,93,0.2%,48,0.2%,51.6%
,85.,15490092 2  audicoes,92,0.2%,46,0.2%,50.0%
,86.,15421212 ntegra capitulo 16   26/03/2015,90,0.2%,29,0.1%,32.2%
,87.,15491743 veja como carol e aline se prepararam para arrasar no panicats show,89,0.2%,33,0.1%,37.1%
,88.,15424855 ntegra capitulo 18   30/03/2015,88,0.2%,21,0.1%,23.9%
,89.,15346967 video mostra que e possivel levar quatro pessoas em uma moto,87,0.2%,59,0.3%,67.8%
,90.,15480115 ntegra capitulo 62   20/05/2015,87,0.2%,38,0.2%,43.7%
,91.,15428111 ntegra capitulo 21   02/04/2015,87,0.2%,22,0.1%,25.3%
,92.,15486332 ntegra capitulo 67  26/05/2015,86,0.2%,43,0.2%,50.0%
,93.,15426208 ntegra capitulo 19   31/03/2015,86,0.2%,34,0.2%,39.5%
,94.,15445262 ntegra capitulo 36   20/04/2015,84,0.2%,27,0.1%,32.1%
,95.,15494636 fusun e selim discutem apos serem vistos por nadide,83,0.2%,72,0.3%,86.7%
,96.,15428744 ntegra capitulo 22   03/04/2015,83,0.2%,30,0.1%,36.1%
,97.,15442080 ntegra capitulo 31   14/04/2015,80,0.2%,32,0.1%,40.0%
,98.,15497479 6   guatemala,79,0.2%,61,0.3%,77.2%
,99.,15492953 palavras cruzadas cqc prass x neto,78,0.2%,67,0.3%,85.9%
,100.,15087757 emilio revela imagens exclusivas de carol dias no panico na ilha,77,0.2%,41,0.2%,53.2%
,101.,15472688 ntegra capitulo 57   14/05/2015,77,0.2%,27,0.1%,35.1%
,102.,15443199 ntegra capitulo 33   16/04/2015,77,0.2%,23,0.1%,29.9%
,103.,15428777 ntegra capitulo 23   04/04/2015,77,0.2%,15,0.1%,19.5%
,104.,15427527 ntegra capitulo 20   01/04/2015,76,0.2%,37,0.2%,48.7%
,105.,15440162 ntegra capitulo 30   13/04/2015,75,0.2%,37,0.2%,49.3%
,106.,15318600 panicats dancam o funk parara tim bum,74,0.2%,21,0.1%,28.4%
,107.,15483890 carol dias faz coreografia vendada no panicats show,74,0.2%,21,0.1%,28.4%
,108.,15487606 beth beltrao faz o biscoito de polvilho mais famoso de mg,73,0.1%,25,0.1%,34.2%
,109.,14375643 panicats dancam funk ao vivo no panico,73,0.1%,17,0.1%,23.3%
,110.,15419833 ntegra capitulo 15   25/03/2015,69,0.1%,37,0.2%,53.6%
,111.,15442415 ntegra capitulo 32   15/04/2015,69,0.1%,31,0.1%,44.9%
,112.,15494176 eliminacao de candidata emociona participantes,69,0.1%,22,0.1%,31.9%
,113.,15499053 panico na band cobre festa de antonio bandeiras,69,0.1%,15,0.1%,21.7%
,114.,13107524 as tendencias em gravatas com fabio lacerda,67,0.1%,0,0.0%,0.0%
,115.,15492924 teste de honestidade compra medicamento proibido sem receita medica,66,0.1%,44,0.2%,66.7%
,116.,15473954 ntegra capitulo 58   15/05/2015,66,0.1%,30,0.1%,45.5%
,117.,15495606 bolo do dia dos namorados,66,0.1%,11,0.0%,16.7%
,118.,15437425 ntegra capitulo 28   10/04/2015,65,0.1%,31,0.1%,47.7%
,119.,15437432 ntegra capitulo 29   11/04/2015,65,0.1%,23,0.1%,35.4%
,120.,15483843 mendigo e mendigata procuram gostosas no rio de janeiro,65,0.1%,19,0.1%,29.2%
,121.,"15150692 top 20 estreia neste domingo, trazendo os videos mais engracados do mundo",64,0.1%,38,0.2%,59.4%
,122.,15448570 ntegra capitulo 37   21/04/2015,64,0.1%,31,0.1%,48.4%
,123.,15467278 ntegra capitulo 53   09/05/2015,64,0.1%,24,0.1%,37.5%
,124.,15497447 1   guatemala,62,0.1%,31,0.1%,50.0%
,125.,15475048 ntegra capitulo 59    16/05/2015,61,0.1%,28,0.1%,45.9%
,126.,15491717 panico reune coletanea de piadas de tiozao de gui santana,60,0.1%,44,0.2%,73.3%
,127.,15494165 paola carosella agradece a lucas pelo sabor de seu prato,59,0.1%,37,0.2%,62.7%
,128.,15470130 ntegra capitulo 54   11/05/2015,59,0.1%,29,0.1%,49.2%
,129.,15433723 ntegra capitulo 25   07/04/2015,59,0.1%,28,0.1%,47.5%
,130.,15436315 ntegra capitulo 27   09/04/2015,59,0.1%,24,0.1%,40.7%
,131.,15477701 ntegra capitulo 60   18/05/2015,59,0.1%,23,0.1%,39.0%
,132.,15471969 ntegra capitulo 55   12/05/2015,59,0.1%,21,0.1%,35.6%
,133.,15471451 ntegra capitulo 56   13/05/2015,58,0.1%,26,0.1%,44.8%
,134.,15494639 feride vai a casa da antiga amante de seu marido,54,0.1%,43,0.2%,79.6%
,135.,15452162 ntegra capitulo 41   25/04/2015,54,0.1%,25,0.1%,46.3%
,136.,15467263 ntegra capitulo 52   08/05/2015,54,0.1%,23,0.1%,42.6%
,137.,15491715 aprendiz de impostor tenta fazer snapchat com arnold schwarzenegger,53,0.1%,29,0.1%,54.7%
,138.,15445256 ntegra capitulo 35   18/04/2015,53,0.1%,21,0.1%,39.6%
,139.,15493593 yansel morre apos desmaio misterioso,52,0.1%,25,0.1%,48.1%
,140.,15402298 onur e sherazade passam a noite juntos,51,0.1%,33,0.1%,64.7%
,141.,15449615 ntegra capitulo 38   22/04/2015,51,0.1%,30,0.1%,58.8%
,142.,15457952 ntegra capitulo 46   01/05/2015,51,0.1%,16,0.1%,31.4%
,143.,15483895 carol dias vence o panicats show,51,0.1%,16,0.1%,31.4%
,144.,15423600 poderoso ensina fieis a se prepararem para o demonio silvio santos,51,0.1%,6,0.0%,11.8%
,145.,15477204 onur e sherazade se beijam e fazem as pazes,50,0.1%,40,0.2%,80.0%
,146.,15499079 participantes do eletrocutados cantam partes do corpo humano,50,0.1%,32,0.1%,64.0%
,147.,15434963 ntegra capitulo 26   08/04/2015,50,0.1%,27,0.1%,54.0%
,148.,15452147 ntegra capitulo 40   24/04/2015,50,0.1%,20,0.1%,40.0%
,149.,15457306 ntegra capitulo 45   30/04/2015,49,0.1%,19,0.1%,38.8%
,150.,15495602 bolo floresta negra no copo,48,0.1%,10,0.0%,20.8%
,151.,15466075 ntegra capitulo 51   07/05/2015,47,0.1%,22,0.1%,46.8%
,152.,15499080 agnaldo te mostro show continua tentam desvendar o sexo dos convidados,47,0.1%,21,0.1%,44.7%
,153.,15499059 k game show desafia conhecimento dos competidores,46,0.1%,23,0.1%,50.0%
,154.,15443785 ntegra capitulo 34   17/04/2015,46,0.1%,21,0.1%,45.7%
,155.,15454824 pesquisa falsa faz homens serem roubados no simuladores,46,0.1%,15,0.1%,32.6%
,156.,15483891 panicats show aline mineiro aposta no samba,46,0.1%,8,0.0%,17.4%
,157.,15486230 candidata pede para apertar bochecha de jacquin,45,0.1%,34,0.2%,75.6%
,158.,15450985 ntegra capitulo 39   23/04/2015,45,0.1%,26,0.1%,57.8%
,159.,15457495 ntegra capitulo 44   29/04/2015,45,0.1%,21,0.1%,46.7%
,160.,15454905 ntegra capitulo 42   27/04/2015,45,0.1%,20,0.1%,44.4%
,161.,15183459 gatinho leva susto ao se ver no espelho,44,0.1%,33,0.1%,75.0%
,162.,15476471 carol dias vence o panicat`s show deste domingo,44,0.1%,33,0.1%,75.0%
,163.,15494259 marcos erra na apresentacao do ovo,44,0.1%,25,0.1%,56.8%
,164.,15484989 os simuladores mostra golpe do relogio falso,44,0.1%,23,0.1%,52.3%
,165.,15483887 eduardo vence o eletrocutados,44,0.1%,19,0.1%,43.2%
,166.,15497481 joao doria jr. bate papo com flavio gikovate   parte 1,44,0.1%,17,0.1%,38.6%
,167.,15496617 patrick maia prepara omelett no papo de cozinha,43,0.1%,10,0.0%,23.3%
,168.,15313829 parte 3  prova final,42,0.1%,22,0.1%,52.4%
,169.,15480685 assista ao clipe especial da musica eu so queria te amar,42,0.1%,22,0.1%,52.4%
,170.,15456104 ntegra capitulo 43   28/04/2015,42,0.1%,18,0.1%,42.9%
,171.,15494158 jurados decidem primeira eliminada do masterchef 2015,42,0.1%,17,0.1%,40.5%
,172.,15460915 panico faz garotas mostrarem os peitos no tomorrowland 2015,42,0.1%,3,0.0%,7.1%
,173.,15499062 locutor anonimo ataca novamente,41,0.1%,22,0.1%,53.7%
,174.,15483881 patrick maia mostra como o whatsapp pode ser deselegante,40,0.1%,31,0.1%,77.5%
,175.,15491681 quem vence a corrida entre um kart e um carrinho de controle remoto?,40,0.1%,27,0.1%,67.5%
,176.,15462411 simuladores mostra truque com copos e bolinhas,40,0.1%,26,0.1%,65.0%
,177.,15313888 parte 4  avaliacao da prova final,40,0.1%,16,0.1%,40.0%
,178.,15497475 4   guatemala,39,0.1%,24,0.1%,61.5%
,179.,14314992 kid bengala paga r$ 8 milhoes por virgindade de catarinense,39,0.1%,21,0.1%,53.8%
,180.,15462448 ntegra capitulo 48   04/05/2015,39,0.1%,17,0.1%,43.6%
,181.,15233379 mendigata fica pelada na praia de tambaba,39,0.1%,13,0.1%,33.3%
,182.,15476404 mendigo e mendigata visitam as praias do rj no pego ou nao pego,39,0.1%,9,0.0%,23.1%
,183.,15488835 pao de mel,39,0.1%,8,0.0%,20.5%
,184.,15478814 candidatos enfrentam criticas severas dos jurados,38,0.1%,16,0.1%,42.1%
,185.,15394230 gatinho faz de tudo pra brincar com cao sao bernardo,38,0.1%,9,0.0%,23.7%
,186.,15464854 ntegra capitulo 50   06/05/2015,37,0.1%,20,0.1%,54.1%
,187.,15432537 ntegra capitulo 24   06/04/2015,37,0.1%,18,0.1%,48.6%
,188.,15458630 ntegra capitulo 47   02/05/2015,37,0.1%,17,0.1%,45.9%
,189.,15248765 datena ensina como fazer no em gravata,37,0.1%,15,0.1%,40.5%
,190.,15492904 exterminador de conviccoes testa opinioes sobre a legalizacao da maconha,37,0.1%,15,0.1%,40.5%
,191.,15313855 parte 5  resultado final,37,0.1%,14,0.1%,37.8%
,192.,14592731 panico trolla entregadores de pizza,37,0.1%,5,0.0%,13.5%
,193.,15497449 2   guatemala,36,0.1%,30,0.1%,83.3%
,194.,15493630 kerem e bennu se casam,36,0.1%,28,0.1%,77.8%
,195.,15463595 1  mel chega ao centro de treinamento da instrucao de guerra na selva,36,0.1%,16,0.1%,44.4%
,196.,14623842 kid bengala diz que ja transou com 6 mil mulheres,36,0.1%,2,0.0%,5.6%
,197.,15489702 veja a abertura da nova temporada de masterchef brasil,34,0.1%,26,0.1%,76.5%
,198.,15492909 lucas salles finge link ao vivo e trolla famosos,34,0.1%,24,0.1%,70.6%
,199.,15483883 agnaldos descobrem se e menino ou menina,34,0.1%,13,0.1%,38.2%
,200.,15494384 arroz cremoso de bacalhau,34,0.1%,12,0.1%,35.3%
,201.,15493479 onur se deita com sherazade,33,0.1%,31,0.1%,93.9%
,202.,"15494167 fogaca elogia ideia, mas critica execucao do prato de raul",33,0.1%,28,0.1%,84.8%
,203.,"15499075 denilson, yudi e neto lx participam do apagao",33,0.1%,6,0.0%,18.2%
,204.,15486691 onur e sherazade tem noite romantica no apartamento do empresario,32,0.1%,27,0.1%,84.4%
,205.,15483886 christian pior e aline causam na festa de i love paraisopolis,32,0.1%,18,0.1%,56.3%
,206.,15492905 gregorio duvivier conta ter tido affair com amiga de suzane von richthofen,32,0.1%,16,0.1%,50.0%
,207.,15484997 mauricio meirelles tenta resolver guerra entre kens humanos,32,0.1%,15,0.1%,46.9%
,208.,15496625 namorado com salsa de abacaxi,32,0.1%,11,0.0%,34.4%
,209.,14622364 parte 2   mariana weickert da um passeio com kid bengala,32,0.1%,7,0.0%,21.9%
,210.,15494256 jiang pu avisa que ovo pode ter passado do ponto,31,0.1%,22,0.1%,71.0%
,211.,14767423 panico faz teste da ferrari com mulheres brasileiras,31,0.1%,17,0.1%,54.8%
,212.,15463651 ntegra capitulo 49   05/05/2015,31,0.1%,17,0.1%,54.8%
,213.,15046843 veja as mais belas da playboy de abril,31,0.1%,9,0.0%,29.0%
,214.,15401376 sherazade se atrasa para reuniao de trabalho,30,0.1%,13,0.1%,43.3%
,215.,15403890 francine cobre os bastidores de um filme porno,30,0.1%,12,0.1%,40.0%
,216.,"15383515 mil e uma noites, a nova novela da band",30,0.1%,11,0.0%,36.7%
,217.,15313857 elisa e a primeira campea do masterchef,30,0.1%,5,0.0%,16.7%
,218.,15492939 cqc faz bombados usarem a forca para amassar latinhas,29,0.1%,22,0.1%,75.9%
,219.,15494255 sabrina acredita que seu prato ficou melhor que dos adversarios,29,0.1%,20,0.1%,69.0%
,220.,"15443091 apos pedido de casamento, onur e sherazade se beijam",29,0.1%,19,0.1%,65.5%
,221.,15486147 chinesa jiang contraria a familia para participar do masterchef,29,0.1%,16,0.1%,55.2%
,222.,15486215 candidato impressiona paola e vai direto a proxima fase,29,0.1%,14,0.1%,48.3%
,223.,15476443 poderoso castiga ajuda seus fieis e recebe varios convidados,29,0.1%,7,0.0%,24.1%
,224.,15460978 panicat`s show mari baianinha encarna jennifer lopez em on the floor,29,0.1%,5,0.0%,17.2%
,225.,15495321 artista plastica conquista jurados com molho caseiro,28,0.1%,22,0.1%,78.6%
,226.,15414070 onur pede sherazade em casamento,28,0.1%,20,0.1%,71.4%
,227.,15401384 sherazade aceita condicao de onur,28,0.1%,17,0.1%,60.7%
,228.,"15368986 poderoso castiga, mendigata e gui santana vao a praia de nudismo",28,0.1%,5,0.0%,17.9%
,229.,14976413 balas de coco,28,0.1%,4,0.0%,14.3%
